NR,PDB_ID,AF_ID,START,END,CHAIN,CLASS,GROUP,NOTES
1,1AAX,P18031,1,321,-,hydrolase,1,-
2,1BUH,P61024,1,79,B,"transferase, kinase",1,-
3,1ERR,P03372,301,553,A,nuclear receptor,1,"Experimental structure contains 3 additional internal segments (1 short, 2 medium)."
4,1F0R,P00742,235,488,A,hydrolase,1,-
5,1F8A,Q13526,1,163,-,"membrane protein, isomerase",0,-
6,1JDH,P35222,135,663,A,"transcription, PPI",0,"Experimental structure contains 2 additional internal segments (medium length)."
7,1N26,P08887,20,344,-,immune system,0,-
8,1NF7,P12268,1,514,A,oxidoreductase,1,"Experimental structure contains 3 additional internal segments (1 short, 2 long)."
9,1NKP,P01106,368,449,A,transcription/DNA,0,-
10,1O86,P12821,642,1230,-,hydrolase,1,-
11,1T4F,Q00987,17,125,-,ligase,0,-
12,1XOZ,O76074,534,875,-,hydrolase,1,-
13,1YET,P07900,9,236,-,chaperone protein,0,-
14,2ACR,P15121,2,316,-,oxidoreductase,1,-
15,2BDY,P00734,334,622,-,hydrolase,1,-
16,2E7A,P01375,77,233,A,"lymphokine, PPI",0,-
17,2FLU,Q14145,321,609,-,"ligase, PPI",0,-
18,2J0I,O96013,291,591,-,"transferase, kinase",1,-
19,2PPN,P62942,2,108,-,rotamase,1,-
20,2R4R,P07550,29,348,A,"membrane protein, hydrolase",1,"Experimental structure contains additional internal segments."
21,2YY0,Q99417,42,94,A,"transcription, PPI",0,-
22,3MZ7,Q9BY41,1,377,-,transferase,1,-
23,3OG7,P15056,448,720,A,"transferase, kinase",1,-
24,3PY0,P24941,1,298,-,transferase,1,-
25,4AFX,Q9UK55,23,444,-,hydrolase,1,-
26,4G95,P00374,2,187,-,oxidoreductase,1,-
27,4O75,O60885,44,168,-,transcription,0,-
28,4QGN,Q9BV57,1,179,-,oxidoreductase,1,-
29,4RE1,P46937,50,171,C,transcription/protein binding,0,"Very short structure pair; several sequence substitutions."
30,4WUY,Q9NRG4,1,433,-,transferase,1,-
31,4X6H,P43235,115,329,-,hydrolase,1,-
32,5E2M,P00915,3,261,A,lyase,1,-
33,5GPG,Q00688,109,224,A,isomerase,0,-
34,5MX1,O15335,23,359,A,cell adhesion,0,-
35,6KBR,P20155,23,84,C,hydrolase,1,"Very short structure pair; imperfect sequence match."
36,6L81,Q08AG7,1,82,B,translation,0,-
37,6NJS,P40763,127,688,-,"transcription, PPI",0,-
38,6O69,P22303,33,574,-,hydrolase,1,-
39,6SLG,P28482,1,360,-,transferase,1,-
40,6XE6,Q96F81,172,1249,-,lipid transport,1,"Experimental structure contains additional internal segments."
41,7F7W,O60674,536,810,A,transferase,1,-
42,7JGW,Q07817,1,209,-,"complex (apoptosis/peptide)",0,"Experimental structure contains 1 additional long internal segment."
43,7JXQ,P00533,695,1022,A,"transferase, kinase",1,"Experimental structure contains 1 additional internal segment."
44,7M2G,P60568,20,153,-,immune system,0,-
45,7NEE,Q96IY4,24,423,-,hydrolase,1,-
46,7PAD,O43924,2,150,-,"protein binding, PPI",0,-
47,8EXL,P42336,7,1052,-,transferase,1,"Experimental structure contains multiple additional short internal segments."
48,8SWJ,Q12888,1483,1606,A,"transcription, PPI",0,-
49,8WRA,P29466,120,404,-,hydrolase,1,"Experimental structure contains 2 additional internal segments (1 short, 1 long)."
50,7X4N,P02550,1,451,A,microtubules,0,-
